time_stamp,sensor_index,humidity,temperature,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2021-01-01 21:50:00+00:00,182,73.0,54.2,0.818,1.188,0.818,1.188
2021-01-01 22:00:00+00:00,182,73.0,54.4,1.066,0.962,1.066,0.962
2021-01-01 22:10:00+00:00,182,72.2,55.0,0.892,1.106,0.892,1.106
2021-01-01 22:20:00+00:00,182,71.6,55.2,1.08,1.884,1.08,1.884
2021-01-01 22:30:00+00:00,182,71.8,55.2,1.302,1.598,1.302,1.598
2021-01-01 22:40:00+00:00,182,72.0,55.6,1.54,2.09,1.54,2.09
2021-01-01 22:50:00+00:00,182,71.2,55.4,1.646,2.24,1.646,2.24
2021-01-01 23:00:00+00:00,182,71.0,55.6,1.408,1.838,1.408,1.838
2021-01-01 23:10:00+00:00,182,71.2,56.0,0.832,1.264,0.832,1.264
2021-01-01 23:20:00+00:00,182,70.6,56.0,0.952,1.096,0.952,1.096
2021-01-01 23:30:00+00:00,182,70.4,56.0,1.038,1.312,1.038,1.312
2021-01-01 23:40:00+00:00,182,70.6,55.2,0.842,1.104,0.842,1.104
2021-01-01 23:50:00+00:00,182,71.0,54.8,0.432,0.456,0.432,0.456
2021-01-02 00:00:00+00:00,182,71.0,55.0,0.156,0.196,0.156,0.196
2021-01-02 00:10:00+00:00,182,70.8,55.0,0.094,0.106,0.094,0.106
2021-01-02 00:20:00+00:00,182,70.0,55.0,0.28,0.186,0.28,0.186
2021-01-02 00:30:00+00:00,182,70.0,55.0,0.084,0.14,0.084,0.14
2021-01-02 00:40:00+00:00,182,69.4,54.6,0.058,0.276,0.058,0.276
2021-01-02 00:50:00+00:00,182,69.0,54.0,0.068,0.056,0.068,0.056
2021-01-02 01:00:00+00:00,182,69.4,54.0,0.068,0.336,0.068,0.336
2021-01-02 01:10:00+00:00,182,69.2,53.0,1.914,2.416,1.914,2.416
2021-01-02 01:20:00+00:00,182,70.0,52.6,9.016,10.836,9.016,10.836
2021-01-02 01:30:00+00:00,182,70.0,52.0,15.062,16.666,15.062,16.666
2021-01-02 01:40:00+00:00,182,70.0,52.2,16.57,19.588,16.57,19.588
2021-01-02 01:50:00+00:00,182,70.0,52.0,19.684,21.876,19.684,21.876
2021-01-02 02:00:00+00:00,182,70.2,52.0,15.66,17.774,15.66,17.774
2021-01-02 02:10:00+00:00,182,70.6,52.0,1.554,1.992,1.554,1.992
2021-01-02 02:20:00+00:00,182,70.4,52.0,1.112,1.2,1.112,1.2
2021-01-02 02:30:00+00:00,182,70.0,52.0,0.132,0.098,0.132,0.098
2021-01-02 02:40:00+00:00,182,70.0,51.8,0.71,0.794,0.71,0.794
2021-01-02 02:50:00+00:00,182,70.0,52.0,0.044,0.076,0.044,0.076
2021-01-02 03:00:00+00:00,182,70.0,52.0,2.736,3.63,2.736,3.63
2021-01-02 03:10:00+00:00,182,70.2,52.0,2.912,3.72,2.912,3.72
2021-01-02 03:20:00+00:00,182,70.4,52.0,0.86,1.092,0.86,1.092
2021-01-02 03:30:00+00:00,182,70.2,52.0,0.934,1.218,0.934,1.218
2021-01-02 03:40:00+00:00,182,70.0,52.0,3.95,4.734,3.95,4.734
2021-01-02 03:50:00+00:00,182,70.0,52.0,9.338,10.26,9.338,10.26
2021-01-02 04:00:00+00:00,182,70.0,52.0,2.774,3.24,2.774,3.24
2021-01-02 04:10:00+00:00,182,70.0,52.4,1.99,2.204,1.99,2.204
2021-01-02 04:20:00+00:00,182,70.0,53.0,4.998,5.384,4.998,5.384
2021-01-02 04:30:00+00:00,182,70.0,52.8,1.45,1.674,1.45,1.674
2021-01-02 04:40:00+00:00,182,70.0,53.0,0.912,0.996,0.912,0.996
2021-01-02 04:50:00+00:00,182,69.4,53.0,2.998,3.872,2.998,3.872
2021-01-02 05:00:00+00:00,182,69.0,53.0,0.888,0.982,0.888,0.982
2021-01-02 05:10:00+00:00,182,69.0,53.0,0.94,0.836,0.94,0.836
2021-01-02 05:20:00+00:00,182,69.0,53.0,1.874,2.798,1.874,2.798
2021-01-02 05:30:00+00:00,182,68.8,53.0,1.888,2.306,1.888,2.306
2021-01-02 05:40:00+00:00,182,68.8,53.0,2.434,3.172,2.434,3.172
