time_stamp,sensor_index,humidity,temperature,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2020-12-19 23:20:00+00:00,182,71.0,51.0,0.798,1.062,0.798,1.062
2020-12-19 23:30:00+00:00,182,71.0,51.0,0.214,1.098,0.214,1.098
2020-12-19 23:40:00+00:00,182,71.6,51.0,1.076,1.944,1.076,1.944
2020-12-19 23:50:00+00:00,182,71.8,50.0,1.552,2.802,1.552,2.802
2020-12-20 00:00:00+00:00,182,73.0,50.8,2.118,4.44,2.118,4.44
2020-12-20 00:10:00+00:00,182,72.2,50.8,2.774,4.552,2.774,4.552
2020-12-20 00:20:00+00:00,182,71.8,51.0,1.812,3.54,1.812,3.54
2020-12-20 00:30:00+00:00,182,72.0,51.0,2.27,3.996,2.27,3.996
2020-12-20 00:40:00+00:00,182,72.0,51.0,1.544,3.26,1.544,3.26
2020-12-20 00:50:00+00:00,182,72.4,51.0,1.628,2.994,1.628,2.994
2020-12-20 01:00:00+00:00,182,72.2,50.8,1.304,2.778,1.304,2.778
2020-12-20 01:10:00+00:00,182,72.8,51.0,1.472,3.406,1.472,3.406
2020-12-20 01:20:00+00:00,182,72.6,50.8,1.354,2.728,1.354,2.728
2020-12-20 01:30:00+00:00,182,72.8,51.0,1.158,2.764,1.158,2.764
2020-12-20 01:40:00+00:00,182,72.4,51.4,1.156,1.87,1.156,1.87
2020-12-20 01:50:00+00:00,182,72.4,51.2,1.726,1.976,1.726,1.976
2020-12-20 02:00:00+00:00,182,72.8,51.0,7.122,7.432,7.122,7.432
2020-12-20 02:10:00+00:00,182,72.6,51.0,5.934,7.38,5.934,7.38
2020-12-20 02:20:00+00:00,182,72.4,51.0,2.662,4.252,2.662,4.252
2020-12-20 02:30:00+00:00,182,73.0,50.8,2.244,4.024,2.244,4.024
2020-12-20 02:40:00+00:00,182,72.8,51.2,1.914,3.232,1.914,3.232
2020-12-20 02:50:00+00:00,182,72.2,51.0,1.226,1.504,1.226,1.504
2020-12-20 03:00:00+00:00,182,72.6,50.4,1.432,2.978,1.432,2.978
2020-12-20 03:10:00+00:00,182,72.2,51.0,1.402,2.388,1.402,2.388
2020-12-20 03:20:00+00:00,182,72.4,51.0,1.448,2.558,1.448,2.558
2020-12-20 03:30:00+00:00,182,72.8,51.2,1.652,2.328,1.652,2.328
2020-12-20 03:40:00+00:00,182,73.2,51.2,1.392,2.438,1.392,2.438
2020-12-20 03:50:00+00:00,182,73.4,51.8,1.158,1.342,1.158,1.342
2020-12-20 04:00:00+00:00,182,73.0,52.2,1.178,1.296,1.178,1.296
2020-12-20 04:10:00+00:00,182,72.6,52.4,1.03,1.126,1.03,1.126
2020-12-20 04:20:00+00:00,182,72.2,52.6,0.934,0.88,0.934,0.88
2020-12-20 04:30:00+00:00,182,72.0,53.0,0.706,0.602,0.706,0.602
2020-12-20 04:40:00+00:00,182,72.0,52.8,0.826,1.138,0.826,1.138
2020-12-20 04:50:00+00:00,182,71.8,52.8,0.82,1.014,0.82,1.014
2020-12-20 05:00:00+00:00,182,71.4,53.0,1.01,1.294,1.01,1.294
2020-12-20 05:10:00+00:00,182,71.0,53.0,0.714,0.778,0.714,0.778
2020-12-20 05:20:00+00:00,182,71.4,53.2,1.498,1.18,1.498,1.18
2020-12-20 05:30:00+00:00,182,71.6,53.0,1.556,1.658,1.556,1.658
2020-12-20 05:40:00+00:00,182,71.2,53.0,0.956,1.002,0.956,1.002
2020-12-20 05:50:00+00:00,182,71.0,53.4,1.184,1.464,1.184,1.464
2020-12-20 06:00:00+00:00,182,71.0,53.2,1.064,1.158,1.064,1.158
2020-12-20 06:10:00+00:00,182,71.0,53.6,1.294,1.486,1.294,1.486
2020-12-20 06:20:00+00:00,182,70.8,54.0,1.048,1.34,1.048,1.34
2020-12-20 06:30:00+00:00,182,70.2,53.4,1.832,1.988,1.832,1.988
2020-12-20 06:40:00+00:00,182,70.2,53.0,2.64,3.654,2.64,3.654
2020-12-20 06:50:00+00:00,182,70.4,53.2,1.268,1.52,1.268,1.52
2020-12-20 07:00:00+00:00,182,70.0,53.0,1.174,1.288,1.174,1.288
2020-12-20 07:10:00+00:00,182,70.6,53.0,1.212,1.186,1.212,1.186
2020-12-20 07:20:00+00:00,182,71.0,53.0,2.64,2.882,2.64,2.882
2020-12-20 07:30:00+00:00,182,70.8,53.0,5.702,6.456,5.702,6.456
2020-12-20 07:40:00+00:00,182,70.2,53.6,2.574,2.984,2.574,2.984
2020-12-20 07:50:00+00:00,182,69.8,53.4,1.658,2.316,1.658,2.316
2020-12-20 08:00:00+00:00,182,69.6,54.0,1.592,1.556,1.592,1.556
2020-12-20 08:10:00+00:00,182,69.0,53.2,3.23,3.882,3.23,3.882
2020-12-20 08:20:00+00:00,182,69.0,53.0,7.154,8.636,7.154,8.636
2020-12-20 08:30:00+00:00,182,69.0,53.0,2.118,2.918,2.118,2.918
2020-12-20 08:40:00+00:00,182,69.0,52.0,1.994,2.764,1.994,2.764
2020-12-20 08:50:00+00:00,182,69.8,52.0,1.278,1.654,1.278,1.654
2020-12-20 09:00:00+00:00,182,70.6,51.0,1.036,0.824,1.036,0.824
2020-12-20 09:10:00+00:00,182,71.6,52.0,0.426,0.74,0.426,0.74
2020-12-20 09:20:00+00:00,182,71.2,52.8,1.058,1.174,1.058,1.174
2020-12-20 09:30:00+00:00,182,71.2,52.8,0.6,0.682,0.6,0.682
2020-12-20 09:40:00+00:00,182,70.8,52.0,0.524,0.544,0.524,0.544
2020-12-20 09:50:00+00:00,182,70.6,52.0,0.608,0.662,0.608,0.662
2020-12-20 10:00:00+00:00,182,71.0,51.4,0.558,0.76,0.558,0.76
